nudge|轻推
frock|连衣裙
autocratic|专制的
seldom|不常
imperative|迫切的
awe|敬畏
envious|嫉妒
grudge|积怨
complacent|自满的
ridge|山脊
immense|极大的
fortune|财富
marvellous|非凡的
sill|窗台
eager|渴望的
dim|暗淡的
unpractical|不切实际的
exquisitely|精致地
vulgar|庸俗的
insure|投保
envy|嫉妒
devote|致力于
dilapidated|破旧的
convent|修道院
polish|磨光
scrutinize|仔细检查
tiresome|讨厌的
misfortunes|不幸
sponge|海绵
tease|挑逗
wardrobe|衣柜
proportion|部分
bleak|凄凉的
refusal|拒绝
penniless|身无分文的
gravel|沙砾
tactful|圆滑的
unobtrusively|不显眼地
pounce|突袭
deliberation|深思熟虑
proceed|继续
consort|配偶
ridiculous|荒唐的
submerge|淹没
grim|严峻的
impoverished|贫困的
awful|很坏的
dilate|扩张
tragic|悲剧的
sobere|使清醒
casual|随便的
